staff_pick,name_len_clean,blurb_len_clean,staff_pick.1,show_feature_image,video,goal_usd,project_duration_days
False,8,14,False,False,True,13220.215469600002,30
False,3,20,False,False,True,100000.0,57
True,6,4,False,False,True,7900.500075000001,30
False,2,18,False,False,True,150.0,20
False,9,15,False,True,True,15000.0,21
False,4,9,False,False,True,400000.0,26
False,8,23,False,False,False,750.0,30
False,8,17,False,False,False,100.0,15
False,2,21,False,False,True,6000.0,30
True,7,23,False,False,False,607.46108,29
False,1,17,False,False,False,52632.24399999999,30
False,7,20,False,False,True,100.0,31
False,7,18,False,False,False,15000.0,30
False,7,19,False,False,False,6500.0,37
False,2,4,False,False,False,1177.91874,30
False,3,24,False,False,True,421.360004,49
False,6,19,False,False,True,2500.0,30
False,7,20,False,False,True,5000.0,35
False,3,23,False,False,True,6300.0,59
False,4,10,False,False,True,13000.0,40
False,7,20,False,False,True,140.905898,35
False,3,11,False,False,False,21052.897599999997,30
False,2,21,False,False,True,740.55697,29
False,7,19,False,False,True,53.21373700000001,40
False,3,10,False,False,False,971.2695262500001,12
False,5,19,False,False,True,3400.0,29
False,10,21,False,False,True,842.241036,30
True,5,19,False,True,True,25000.0,22
False,7,18,False,False,True,150000.0,30
False,4,23,False,False,True,9182.158,59
False,10,24,False,False,True,526.3224399999999,29
False,8,6,False,False,True,2500.0,30
True,6,21,False,False,True,15000.0,30
True,4,19,False,True,True,2500.0,30
False,4,19,False,False,True,1500.0,30
False,7,15,False,False,True,5000.0,23
False,6,21,False,False,False,371607.096,59
False,7,17,False,False,True,500.0,30
False,4,11,False,False,True,7000.0,14
False,7,16,False,False,True,628.2306749999999,8
False,5,24,False,False,False,75.669982,20
False,2,16,False,False,True,4695.1737,30
False,7,18,False,False,False,1059.99014,21
False,3,23,False,False,True,11000.0,29
False,6,18,False,False,True,8000.0,60
False,3,18,False,False,False,18240.98535,30
True,5,19,False,False,True,21880.0,30
False,7,17,False,False,True,7500.0,32
False,9,18,False,False,False,2900.0,59
False,3,22,False,False,True,4550.0,29
False,4,19,False,False,False,2000.0,30
False,6,19,False,False,False,5000.0,30
False,6,19,False,False,True,1500.0,14
False,3,15,False,False,False,5000.0,30
True,8,21,False,False,True,50000.0,29
False,3,8,False,False,True,10275.0,30
False,9,20,False,False,False,694.8723,45
False,4,22,False,False,True,8000.0,25
False,8,18,False,False,True,7500.0,7
False,9,21,False,False,True,25000.0,60
False,3,19,False,False,True,10000.0,33
False,7,26,False,False,False,3715.2386250000004,30
False,5,22,False,False,True,15000.0,30
False,8,21,False,False,True,764.18597,19
False,7,23,False,False,False,4000.0,30
False,5,7,False,False,False,300.0,30
False,5,16,False,False,False,3000.0,29
False,3,17,False,False,True,10000.0,24
False,6,21,False,False,True,6686.735,30
False,3,23,False,False,True,37000.0,30
False,9,14,False,False,False,8000.0,30
False,5,21,False,False,True,5000.0,59
False,5,11,False,False,False,606.6366018000001,30
False,4,21,False,False,False,1203.20148,30
False,10,23,False,False,False,150.0,30
False,2,16,False,False,False,1000.0,27
False,8,7,False,False,True,800.0,30
False,4,17,False,False,False,1250.0,24
False,8,22,False,False,True,3500.0,28
False,4,18,False,False,False,800.0,30
False,4,22,False,False,True,3800.0,59
False,3,15,False,False,True,40000.0,38
False,7,10,False,False,True,10775.4441,30
False,3,16,False,False,False,247.466562,29
False,3,21,False,False,True,3054.69432,29
False,1,21,False,False,False,10000.0,30
False,5,5,False,False,False,3749.1152,32
False,7,15,False,False,True,3000.0,12
False,8,19,False,True,False,1856.15815,46
False,5,22,False,False,False,2000.0,30
False,3,18,False,False,True,3759.3024000000005,37
False,5,19,False,False,True,60.0,31
False,4,20,False,False,False,275.0,30
False,9,20,False,False,True,40000.0,40
True,9,16,False,False,True,5000.0,22
False,2,20,False,False,False,5193.067387,59
False,3,20,False,False,True,6000.0,30
False,6,17,False,False,True,7514.9999,60
False,5,13,False,False,True,6000.0,29
False,2,20,False,False,True,50000.0,27
False,2,25,False,False,False,7500.0,29
False,7,17,False,False,True,42600.0,59
False,7,10,False,False,True,500.0,10
False,8,20,False,False,True,75000.0,30
False,4,22,False,False,False,500.0,30
False,4,21,False,False,False,534.8909349999999,59
False,7,13,False,False,False,2500.0,30
False,5,23,False,False,False,1063.0102256999999,30
False,2,13,False,False,True,3000.0,15
False,5,24,False,False,True,600.0,58
False,8,8,False,False,False,300.0,30
False,7,11,False,False,False,20000.0,29
False,4,27,False,False,True,25284.8155,24
False,6,16,False,False,True,663.47579,24
False,9,17,False,True,True,2000.0,59
False,9,26,False,False,True,8598.00872,29
False,6,0,False,False,False,5340.014749999999,21
False,10,26,False,False,True,1.0,30
False,6,17,False,False,False,4806.013274999999,45
False,7,16,False,False,True,12500.0,30
False,9,20,False,False,True,26730.3715,23
False,5,25,False,False,True,8000.0,38
False,9,20,False,False,False,17960.00225,29
False,5,12,False,False,True,15687.60744,31
True,5,17,False,False,True,7500.0,30
True,3,19,False,False,True,15000.0,28
False,5,18,False,False,False,1000.0,20
False,5,20,False,False,True,9300.0,29
False,7,19,False,False,False,1200.0,30
